,detail,link,ministry,sector,title
0,"Get guidelines for Integrated Development of Commercial Floriculture scheme by Department of Agriculture & Cooperation. Information about objectives of scheme, pattern of assistance,  Model Floriculture Centre (MFC), etc. is given.",http://vikaspedia.in/agriculture/farm-based-enterprises/floriculture,,,Guidelines for Integrated Development of Commercial Floriculture Scheme
1,Find information on the social defence schemes of the Ministry of Social Justice and Empowerment. Users can get details of schemes and programmes for older persons and financial assistance in the field of social defence. Information about the NGOs receiving grants-in-aid is also provided.,http://socialjustice.nic.in/schemespro2.php,,,Social defence schemes of Ministry of Social Justice and Empowerment
2,"Details of various schemes and programmes for persons with disabilities are provided by the Ministry of Social Justice and Empowerment. Users can find schemes such as Assistance to Disabled Persons for Purchase / Fitting of Aids and Appliances (ADIP Scheme), Deendayal Disabled Rehabilitation Scheme to promote Voluntary Action for Persons with Disabilities (DDRS Scheme), National Awards and National Scholarships for persons with disabilities etc. Information is also available on the Trust Fund for Empowerment of Persons with Disabilities and Schemes arising out of the Implementation of the...",http://socialjustice.nic.in/schemespro3.php,,,Schemes and programmes for differently abled by Ministry of Social Justice and Empowerment
3,"The Rashtriya Madhyamik Shiksha Abhiyan (RMSA) was launched with the objective to enhance access to secondary education and improve its quality. Find information about the facilities provided under the Rashtriya Madhyamik Shiksha Abhiyan (RMSA). Users can find details of additional enrollment of students, strengthening of existing secondary schools, opening of new secondary schools. Information is available related to the additional class rooms, laboratories, libraries and toilets in schools.",http://mhrd.gov.in/rmsa_integrated,,,Information on Rashtriya Madhyamik Shiksha Abhiyan
4,"Get detailed information on the Child Development activities by the Ministry of Women and Child Development. Information is provided on the objectives, services, schemes, data-table of ICDS, location of Anganwadi centres, guidelines for ICDS, mother and child protection card under ICDS and MHRM, universalisation of ICDS, instructions for Anganwadi workers and helpers.",http://wcd.nic.in/schemes-listing/2404,,,Information on Child Development
5,"Get information about the Balika Samriddhi Yojana (BSY) by the Ministry of Women and Child Development. Users can get information about the objectives, features and components of the scheme. Application form for obtaining the post-birth benefit for rural and urban areas is also provided. Get information on other utilization of the benefits admissible to the girl child under the Scheme.",http://wcdhry.gov.in/balika_samridhi_yojana.htm,,,Balika Samriddhi Yojana by the Ministry of Women and Child Development
6,"Get information about Central Herd Registration Scheme by Department of Animal Husbandry, Dairying & Fisheries (DADF). Users can get details regarding the scheme, its objectives, implementing agencies, target group, funding pattern, etc.",http://dadf.gov.in/about-us/divisions/cattle-and-dairy-development/central-herd-registration-scheme,,,Central Herd Registration Scheme by Department of Animal Husbandry Dairying & Fisheries
7,"Information on centrally sponsored schemes for animal husbandry is provided by Department of Animal Husbandry, Dairying and Fisheries is available. Details about Compendium of Pig Development, Compendium of Feed & Fodder, Livestock Health and National Project for Cattle and Buffalo Breeding, etc. are available. Get details on central sectors such as Livestock census, Central Cattle Breeding Farms, Central Herd Registration Scheme, etc.",http://dahd.nic.in/schemes/animal-husbandry,,,Information on schemes of animal husbandry
8,"Get downloadable forms of schemes for care of older persons by Ministry of Social Justice and Empowerment. Application cum monitoring forms for grants in aid to voluntary organisations working in the field of integrated programmes for older persons and verification by authorised signatory forms can also be downloaded. Lists of beneficiaries, details of social defence, offices, staff employed and forms of utilisation certificates are also available. Details of documents to be attached with the application form are also provided.",http://www.socialjustice.nic.in/downloadforms2.php,,,Download forms of schemes for care of older persons
9,"Detailed information about the Prime Minister Rural Development Fellows Scheme is provided by the Ministry of Rural Development. Users can find information on application procedure to apply for the scheme, mission of the scheme, activities, training and placement etc.",http://rural.nic.in/pmrdfs/,,,Prime Minister Rural Development Fellows Scheme
10,"Find detailed information about the Jan Shikshan Sansthan scheme. Users can find detailed information about the state resource centre, assistance by voluntary agencies, budget, and other literacy programmes. One can login to access various other information pertaining to this scheme.",http://jss.nic.in/updateLogin.jsp,,,Information about Jan Shikshan Sansthan scheme
11,"Get information on scheme initiated by Ministry of Culture for financial assistance for promoting and strengthening of regional and local museums. Users can find details about the scheme, its objectives, scope, eligibility, categorization of museums, financial assistance, development of infrastructure of existing museums, time limit, etc.",http://indiaculture.nic.in/museum-grant-scheme,,,Scheme for financial assistance for promotion and strengthening of regional and local museums
12,"Detailed information has been given for users on scheme of post-matric scholarship to the Other Backward Classes for studies in India. Details of scheme such as objectives, scope, value of scholarship, maintenance allowance and conditions of eligibility etc.",http://socialjustice.nic.in/postmatric.php,,,Scheme of post-matric scholarships for OBC
13,"Get detailed information on Pradhan Mantri Gram Sadak Yojana (PMGSY) provided by the Ministry of Rural Development. Details of PMGSY schemes, National Rural Road Development Agency  (NRRDA), Bharat Nirman, state nodal agencies  are given. ",http://pmgsy.nic.in,,,Pradhan Mantri Gram Sadak Yojana by Ministry of Rural Development
14,"Get detailed information on welfare schemes for the Central Reserve Police Force (CRPF) personnel. You can get information on welfare schemes for serving, disabled, retired and deceased CRPF personnel. Users can also find information on schools, institutions, scholarships and reservation. Information on financial assistance, medical facilities, retirement benefits, re-employment, resettlement, etc. is also provided. Details of various regimental funds such as the Welfare and Amenities Fund, Central Welfare Fund, Risk Fund, Educational Fund, etc. are given. User can also get information on...",http://crpf.nic.in/WELFARE.HTM,,,Information on welfare schemes for Central Reserve Police Force Personnel
15,"Information about scholarships offered by the Centre for Cultural Resources and Training (CCRT) under the aegis of Ministry of Culture is given. Details about Cultural Talent Search Scholarship Scheme, its aims, procedure as well as eligibility for scholarship are available. Users can also get information about selection conditions for scholarships.",http://ccrtindia.gov.in/scholarship.php,,,Scholarships Scheme by Centre for Cultural Resources and Training
16,"Details of welfare schemes and programmes offered by the Ministry of Rural Development are provided. Users can find information pertaining to Rural Housing, Mahatma Gandhi National Rural Employment Guarantee Act, National Social Assistance Programme and training etc. Information about the land reforms programmes and schemes is also available.",http://rural.nic.in/sites/programmes-schemes.asp,,,Schemes and programmes of Ministry of Rural Development
17,"Information about Pravasi Bharatiya Bima Yojna (PBBY) by Ministry of Overseas Indian Affairs is given. Details are available on Pravasi Bharatiya Bima Yojna for 2003 and 2006, salient features of the scheme, revised premium rates, implementation of reduced rates of premium and miscellaneous circular instructions.",http://moia.gov.in/services.aspx?id1=155&idp=155&mainid=73,,,Pravasi Bharatiya Bima Yojna by Ministry of Overseas Indian Affairs
18,Rajiv Gandhi Grameen Vidyutikaran Yojana (RGGVY) or Rural Electricity Infrastructure and Household Electrification Scheme was launched in 2005 and is dedicated to provide electricity to all rural households. The Scheme is funded 90% by Central government and 10% by Rural Electrification Corporation (REC). This scheme is applicable for all rural households living below poverty line. Users can contact Gram Panchayat for further details related to the Scheme.,https://data.gov.in/keywords/rajiv-gandhi-grameen-vidyutikaran-yojana,,,Rajiv Gandhi Grameen Vidyutikaran Yojana
19,"Find information on Indian Navy's Naval Group Insurance Scheme for Naval and Coast Guard personnel. Details of the scheme such as monthly contribution, insurance cover and disability cover for Officers and Sailor/Navik are available. Users can also get information about Post Retirement Death Insurance Extension Scheme. Financial details like single non-refundable one time contribution, insurance cover and period of cover for Officer and Sailor are also given.",http://indiannavy.nic.in/content/naval-group-insurance-fund,,,Information on Naval Group Insurance Scheme by Indian Navy
