,_title,detail,link,ministry,sector
0,Atal Pension Yojana,Social Sector Scheme pertaining to Pension Sector,https://en.wikepedia.org#cite_note-autogenerated1-1,,Pension
1,Bachat Lamp Yojana,reduce the cost of ,https://en.wikepedia.org/w/index.php?title=Bachat_Lamp_Yojana&action=edit&redlink=1,MoP,Electrification
2,Central Government Health Scheme,comprehensive medical care facilities to Central Government employees and their family members,https://en.wikepedia.org/wiki/Central_Government_Health_Scheme,MoHFW,Health
3,Deendayal Disabled Rehabilitation Scheme,"Create an enabling environment to ensure equal opportunities, equity, social justice and empowerment of persons with disabilities.",https://en.wikepedia.org/wiki/Central_Government_Health_Scheme,MoSJE,Social Justice
4,Deen Dayal Upadhyaya Gram Jyoti Yojana,It is a Government of India program aimed at providing 24x7 uninterrupted power supply to all homes in Rural India,https://en.wikepedia.org#cite_note-2,MoP,Rural Power Supply
5,Deen Dayal Upadhyaya Grameen Kaushalya Yojna,"It is a Goveronment of India Project to engage rural youth specially BPL and SC/ST segment of population, in gainful employment through skill training programmes.",https://en.wikepedia.org#cite_note-3,MoRD,Rural Development
6,Digital India,Aims to ensure that government services are available to citizens electronically and people get benefited from the latest information and communication technology,https://en.wikepedia.org#cite_note-4,MoC&IT,Digitally Empowered Nation
7,Gramin Bhandaran Yojana,"Creation of scientific storage capacity with allied facilities in rural areas to meet the requirements of farmers for storing farm produce, processed farm produce and agricultural inputs. Improve their marketability through promotion of grading, standardization and quality control of agricultural produce.",https://en.wikepedia.org/w/index.php?title=Gramin_Bhandaran_Yojana&action=edit&redlink=1,MoA,Agriculture
8,Pradhan Mantri Gramin Awaas Yojana,Provides financial assistance to rural poor for constructing their houses themselves.,https://en.wikepedia.org/wiki/Pradhan_Mantri_Gramin_Awaas_Yojana,MoRD,"Housing, Rural"
9,The Indira Gandhi Matritva Sahyog Yojana,A cash incentive of Rs. 4000 to women (19 years and above) for the first two live births ,https://en.wikepedia.org/wiki/The_Indira_Gandhi_Matritva_Sahyog_Yojana,MoWCD,Mother Care
10,Integrated Child Development Services,tackle ,https://en.wikepedia.org/wiki/Integrated_Child_Development_Services_(India),MoWCD,Child Development
11,Integrated Rural Development Program,self-employment program to raise the income-generation capacity of target groups among the poor and The scheme has been merged with another scheme named Swarnajayanti Gram Swarozgar Yojana (SGSY) since 01.04 1999.,https://en.wikepedia.org/wiki/Integrated_Rural_Development_Program,MoRD,Rural Development
12,Janani Suraksha Yojana,One-time cash incentive to pregnant women for institutional/home births through skilled assistance,https://en.wikepedia.org/wiki/Janani_Suraksha_Yojana_(India),MoHFW,Mother Care
13,Jawaharlal Nehru National Urban Renewal Mission (JnNURM),a programme meant to improve the quality of life and infrastructure in the cities. To be replaced by Atal Mission for Rejuvenation and Urban Transformation.,https://en.wikepedia.org/wiki/Jawaharlal_Nehru_National_Urban_Renewal_Mission,MoUD,Urban Development
14,Kasturba Gandhi Balika Vidyalaya,Educational facilities (residential schools) for girls belonging to ,https://en.wikepedia.org/wiki/Kasturba_Gandhi_Balika_Vidyalaya,MoHRD,Education
15,INSPIRE Programme,"Scholarships for top Science students, Fellowships for pursuing PhD, Research Grants to researchers",https://en.wikepedia.org/w/index.php?title=INSPIRE_Programme&action=edit&redlink=1,Department of Science and Technology (India),
16,Kishore Vaigyanik Protsahan Yojana,"Scholarship program to encourage students to take up research careers in the areas of basic sciences, engineering and medicine",https://en.wikepedia.org/wiki/Kishore_Vaigyanik_Protsahan_Yojana,MoST,
17,Livestock Insurance Scheme,Insurance to cattle and attaining qualitative improvement in livestock and their products.,https://en.wikepedia.org/w/index.php?title=Livestock_Insurance_Scheme_(India)&action=edit&redlink=1,MoA,Education
18,Mahatma Gandhi National Rural Employment Guarantee Act,Legal guarantee for one hundred days of employment in every financial year to adult members of any rural household willing to do public work-related unskilled manual work at the statutory minimum wage of Rs. 120 per day in 2009 prices.,https://en.wikepedia.org/wiki/Mahatma_Gandhi_National_Rural_Employment_Guarantee_Act,MoRD,Rural Wage Employment
19,Members of Parliament Local Area Development Scheme,"Each MP has the choice to suggest to the District Collector for, works to the tune of Rs.5 Crores per annum to be taken up in his/her constituency. The Rajya Sabha Member of Parliament can recommend works in one or more districts in the State from where he/she has been elected.",https://en.wikepedia.org/wiki/Members_of_Parliament_Local_Area_Development_Scheme,MoSPI,
20,Midday Meal Scheme,Lunch (free of cost) to school-children on all working days,https://en.wikepedia.org/wiki/Midday_Meal_Scheme,MoHRD,"Health, Education"
21,Namami Gange Programme,Integrates the efforts to clean and protect the River Ganga in a comprehensive manner,https://en.wikepedia.org#cite_note-10,MoWR,Clean & Protect Ganga
22,National Literacy Mission Programme,Make 80 million adults in the age group of 15 – 35 literate,https://en.wikepedia.org/wiki/National_Literacy_Mission_Programme,MoHRD,Education
23,National Pension Scheme,Contribution based pension system,https://en.wikepedia.org/wiki/National_Pension_Scheme,,Pension
24,National Scheme on Welfare of Fishermen,"Financial assistance to fishers for construction of house, community hall for recreation and common working place and installation of tube-wells for drinking water",https://en.wikepedia.org/w/index.php?title=National_Scheme_on_Welfare_of_Fishermen&action=edit&redlink=1,MoA,Agriculture
25,National Service Scheme,Personality development through social (or community) service,https://en.wikepedia.org/wiki/National_Service_Scheme,MoYAS,
26,National Social Assistance Scheme,"Public assistance to its citizens in case of unemployment, old age, sickness and disablement and in other cases of undeserved want",https://en.wikepedia.org/wiki/National_Social_Assistance_Scheme,MoRD,Pension
27,Pooled Finance Development Fund Scheme,,https://en.wikepedia.org/wiki/Pooled_Finance_Development_Fund_Scheme,,
28,Pradhan Mantri Adarsh Gram Yojana,Integrated development of ,https://en.wikepedia.org/wiki/Pradhan_Mantri_Adarsh_Gram_Yojana,MoRD,Model Village
29,Pradhan Mantri Kaushal Vikas Yojna,To provide encouragement to youth for development of employable skills by providing monetary rewards by recognition of prior learning or by undergoing training at affiliated centres.,https://en.wikepedia.org#cite_note-11,MoSD&E,SKILL DEVELOPMENT INITIATIVE SCHEMES
